modelos,demanda
L001,117678
L002,591
L003,1580
L004,94153
L005,0
L006,207
L007,29363
L008,40
L009,431
L010,880
L011,170747
L012,1912
L013,1367
L014,30
L015,101
L016,86570
L017,0
L018,642
L019,1720
L020,18102
L021,0
L022,140087
L023,1018
L024,3017
L025,6941
L026,10759
L027,113
L028,6966
L029,0
L030,5615
L031,9641
L032,4332
L033,1858
L034,0
L035,474
L036,2537
L037,603
L038,319
L039,255
L040,0
L041,5000
L042,9321
L043,0
L044,0
L045,0
L046,0
L047,0
L048,0
L049,0
L050,0
L051,0
L052,815
L053,348
L054,584
L055,363
L056,0
L057,0
L058,0
L059,1283
L060,450196
L061,1982
L062,180756
L063,0
L064,77384
L065,23615
L066,0
L067,229942
L068,0
L069,0
L070,118436
L071,2516
F001,1013
F002,1678
F003,630
F004,0
F005,240
F006,480
F007,719
F008,1236
F009,4955
F010,1128
F011,720
F012,0
F013,0
F014,0
F015,1080
F016,24442
F017,21416
F018,0
F019,0
F020,38186
F021,12488
F022,0
F023,35785
F024,11586
F025,14410
F026,11
F027,5684
F028,7024
F029,60
F030,142
F031,402
F032,2003
F033,3052
F034,11512
F035,3483
F036,9924
F037,2377
F038,12041
F039,2353
F040,4968
F041,1864
F042,7548
F043,3490
F044,12722
F045,810
F046,2300
F047,4001
F048,720
F049,360
F050,11
F051,480
F052,120
F053,8162
F054,7936
F055,7842
F056,16835
F057,0
F058,0
F059,0
F060,0
F061,0
F062,0
F063,0
F064,0
F065,55
F066,0
F067,0
F068,10
F069,0
F070,0
F071,0
F072,40
F073,3717
F074,20
F075,405
F076,0
F077,125
F078,2913
F079,1155
F080,0
F081,0
F082,0
F083,17
F084,23
F085,10
F086,73212
F087,0
F088,0
F089,10
F090,495
F091,0
F092,0
F093,480
F094,240
F095,5097
F096,14239
F097,0
F098,15838
F099,1583
F100,0
F101,47471
F102,30710
F103,0
F104,0
F105,1348
F106,30085
F107,0
F108,0
F109,0
F110,0
F111,0
F112,0
F113,38471
F114,18227
F115,0
F116,72938
F117,0
F118,0
F119,29691
F120,0
F121,0
C001,11219
C002,12183
C003,28599
C004,3490
C005,33018
C006,2798
C007,3179
C008,0
C009,7092
