linhas,periodos,C
1,1,61920
1,2,61920
1,3,61920
1,4,61920
1,5,61920
1,6,61920
1,7,61920
1,8,61920
1,9,61920
1,10,61920
1,11,61920
1,12,61920
1,13,61920
1,14,61920
1,15,61920
1,16,61920
1,17,61920
1,18,61920
1,19,61920
1,20,61920
1,21,61920
1,22,61920
1,23,61920
1,24,61920
1,25,61920
1,26,61920
1,27,61920
1,28,61920
1,29,61920
1,30,61920
1,31,61920
1,32,61920
1,33,61920
1,34,61920
1,35,61920
1,36,61920
1,37,61920
1,38,61920
1,39,61920
1,40,61920
1,41,61920
1,42,61920
1,43,61920
1,44,61920
1,45,61920
1,46,61920
1,47,61920
1,48,61920
1,49,61920
1,50,61920
1,51,61920
1,52,61920
1,53,61920
1,54,61920
1,55,61920
1,56,61920
1,57,61920
1,58,61920
1,59,61920
1,60,61920
1,61,61920
1,62,61920
1,63,61920
1,64,61920
1,65,61920
1,66,61920
1,67,61920
1,68,61920
1,69,61920
1,70,61920
1,71,61920
1,72,61920
1,73,61920
1,74,61920
1,75,61920
1,76,61920
1,77,61920
1,78,61920
1,79,61920
1,80,61920
1,81,61920
1,82,61920
1,83,61920
1,84,61920
1,85,61920
1,86,61920
1,87,61920
1,88,61920
1,89,61920
1,90,61920
1,91,61920
1,92,61920
1,93,61920
1,94,61920
1,95,61920
1,96,61920
1,97,61920
1,98,61920
1,99,61920
1,100,61920
1,101,61920
1,102,61920
1,103,61920
1,104,61920
1,105,61920
1,106,61920
1,107,61920
1,108,61920
1,109,61920
1,110,61920
1,111,61920
1,112,61920
1,113,61920
1,114,61920
1,115,61920
1,116,61920
1,117,61920
1,118,61920
1,119,61920
1,120,61920
1,121,61920
1,122,61920
1,123,61920
1,124,61920
1,125,61920
1,126,61920
1,127,61920
1,128,61920
1,129,61920
1,130,61920
1,131,61920
1,132,61920
1,133,61920
1,134,61920
1,135,61920
1,136,61920
1,137,61920
1,138,61920
1,139,61920
1,140,61920
1,141,61920
1,142,61920
1,143,61920
1,144,61920
1,145,61920
1,146,61920
1,147,61920
1,148,61920
1,149,61920
1,150,61920
1,151,61920
1,152,61920
1,153,61920
1,154,61920
1,155,61920
1,156,61920
1,157,61920
1,158,61920
1,159,61920
1,160,61920
1,161,61920
1,162,61920
1,163,61920
1,164,61920
1,165,61920
1,166,61920
1,167,61920
1,168,61920
1,169,61920
1,170,61920
1,171,61920
1,172,61920
1,173,61920
1,174,61920
1,175,61920
1,176,61920
1,177,61920
1,178,61920
1,179,61920
1,180,61920
1,181,61920
1,182,61920
1,183,61920
1,184,61920
1,185,61920
1,186,61920
1,187,61920
1,188,61920
1,189,61920
1,190,61920
1,191,61920
1,192,61920
1,193,61920
1,194,61920
1,195,61920
1,196,61920
1,197,61920
1,198,61920
1,199,61920
1,200,61920
1,201,61920
1,202,61920
1,203,61920
