modelos,demanda
L001,64669
L002,546
L003,1580
L004,55147
L005,0
L006,83
L007,996
L008,40
L009,431
L010,560
L011,91361
L012,1388
L013,1180
L014,30
L015,101
L016,54663
L017,0
L018,642
L019,573
L020,7766
L021,0
L022,56418
L023,1018
L024,1151
L025,4422
L026,4417
L027,0
L028,3127
L029,0
L030,1797
L031,4519
L032,1766
L033,769
L034,0
L035,464
L036,1738
L037,124
L038,319
L039,2
L040,0
L041,2614
L042,4785
L043,0
L044,0
L045,0
L046,0
L047,0
L048,0
L049,0
L050,0
L051,0
L052,815
L053,348
L054,544
L055,240
L056,0
L057,0
L058,0
L059,599
L060,210775
L061,1384
L062,113829
L063,0
L064,35760
L065,15282
L066,0
L067,98773
L068,0
L069,0
L070,56857
L071,0
F001,1013
F002,838
F003,630
F004,0
F005,240
F006,480
F007,0
F008,1236
F009,2195
F010,1128
F011,720
F012,0
F013,0
F014,0
F015,1080
F016,10478
F017,11840
F018,0
F019,0
F020,22208
F021,8975
F022,0
F023,17566
F024,6754
F025,4263
F026,9
F027,2653
F028,3102
F029,60
F030,0
F031,248
F032,1494
F033,2400
F034,4685
F035,1847
F036,3732
F037,1953
F038,8956
F039,1977
F040,3309
F041,1595
F042,5648
F043,1717
F044,4879
F045,510
F046,800
F047,2219
F048,720
F049,360
F050,8
F051,480
F052,120
F053,3240
F054,2617
F055,4150
F056,6100
F057,0
F058,0
F059,0
F060,0
F061,0
F062,0
F063,0
F064,0
F065,10
F066,0
F067,0
F068,10
F069,0
F070,0
F071,0
F072,40
F073,2124
F074,20
F075,390
F076,0
F077,42
F078,1014
F079,385
F080,0
F081,0
F082,0
F083,17
F084,23
F085,0
F086,43173
F087,0
F088,0
F089,0
F090,347
F091,0
F092,0
F093,480
F094,240
F095,0
F096,4320
F097,0
F098,6000
F099,863
F100,0
F101,28738
F102,16920
F103,0
F104,0
F105,180
F106,16920
F107,0
F108,0
F109,0
F110,0
F111,0
F112,0
F113,17639
F114,8640
F115,0
F116,36335
F117,0
F118,0
F119,15440
F120,0
F121,0
C001,3575
C002,4756
C003,10678
C004,1442
C005,17624
C006,1200
C007,1306
C008,0
C009,3231
