modelos,demanda
L001,18177
L002,0
L003,0
L004,6136
L005,0
L006,0
L007,960
L008,0
L009,0
L010,0
L011,21960
L012,1
L013,58
L014,0
L015,0
L016,5680
L017,0
L018,120
L019,409
L020,271
L021,0
L022,11304
L023,0
L024,204
L025,754
L026,608
L027,0
L028,333
L029,0
L030,237
L031,79
L032,0
L033,0
L034,0
L035,0
L036,597
L037,67
L038,210
L039,0
L040,0
L041,350
L042,601
L043,0
L044,0
L045,0
L046,0
L047,0
L048,0
L049,0
L050,0
L051,0
L052,0
L053,0
L054,0
L055,0
L056,0
L057,0
L058,0
L059,305
L060,36333
L061,591
L062,14360
L063,0
L064,8160
L065,0
L066,0
L067,26880
L068,0
L069,0
L070,6360
L071,0
F001,0
F002,0
F003,0
F004,0
F005,0
F006,0
F007,0
F008,0
F009,0
F010,0
F011,0
F012,0
F013,0
F014,0
F015,0
F016,1336
F017,0
F018,0
F019,0
F020,6488
F021,2131
F022,0
F023,5257
F024,3394
F025,1135
F026,2
F027,366
F028,1403
F029,0
F030,0
F031,0
F032,0
F033,0
F034,965
F035,282
F036,1191
F037,0
F038,1177
F039,0
F040,0
F041,455
F042,912
F043,277
F044,1042
F045,0
F046,0
F047,709
F048,0
F049,0
F050,0
F051,0
F052,0
F053,0
F054,999
F055,1100
F056,2550
F057,0
F058,0
F059,0
F060,0
F061,0
F062,0
F063,0
F064,0
F065,0
F066,0
F067,0
F068,0
F069,0
F070,0
F071,0
F072,0
F073,194
F074,0
F075,0
F076,0
F077,24
F078,448
F079,133
F080,0
F081,0
F082,0
F083,0
F084,0
F085,0
F086,7758
F087,0
F088,0
F089,0
F090,0
F091,0
F092,0
F093,0
F094,0
F095,0
F096,240
F097,0
F098,0
F099,133
F100,0
F101,8300
F102,3960
F103,0
F104,0
F105,0
F106,120
F107,0
F108,0
F109,0
F110,0
F111,0
F112,0
F113,3954
F114,1200
F115,0
F116,7295
F117,0
F118,0
F119,2400
F120,0
F121,0
C001,180
C002,1138
C003,5016
C004,122
C005,2934
C006,0
C007,125
C008,0
C009,240
