linhas,periodos,C
1,1,30960
1,2,30960
1,3,30960
1,4,30960
1,5,30960
1,6,30960
1,7,30960
1,8,30960
1,9,30960
1,10,30960
1,11,30960
1,12,30960
1,13,30960
1,14,30960
1,15,30960
1,16,30960
1,17,30960
1,18,30960
1,19,30960
1,20,30960
1,21,30960
1,22,30960
1,23,30960
1,24,30960
1,25,30960
1,26,30960
1,27,30960
1,28,30960
1,29,30960
1,30,30960
1,31,30960
1,32,30960
1,33,30960
1,34,30960
1,35,30960
1,36,30960
1,37,30960
1,38,30960
1,39,30960
2,1,61920
2,2,61920
2,3,61920
2,4,61920
2,5,61920
2,6,61920
2,7,61920
2,8,61920
2,9,61920
2,10,61920
2,11,61920
2,12,61920
2,13,61920
2,14,61920
2,15,61920
2,16,61920
2,17,61920
2,18,47232
2,19,47232
2,20,47232
2,21,47232
2,22,47232
2,23,47232
2,24,47232
2,25,47232
2,26,47232
2,27,47232
2,28,47232
2,29,47232
2,30,47232
2,31,47232
2,32,47232
2,33,47232
2,34,47232
2,35,47232
2,36,47232
2,37,47232
2,38,47232
2,39,47232
3,1,61920
3,2,61920
3,3,61920
3,4,61920
3,5,61920
3,6,61920
3,7,61920
3,8,61920
3,9,61920
3,10,61920
3,11,61920
3,12,61920
3,13,61920
3,14,61920
3,15,61920
3,16,61920
3,17,61920
3,18,61920
3,19,61920
3,20,61920
3,21,61920
3,22,61920
3,23,61920
3,24,61920
3,25,61920
3,26,61920
3,27,61920
3,28,61920
3,29,61920
3,30,61920
3,31,61920
3,32,61920
3,33,61920
3,34,61920
3,35,61920
3,36,61920
3,37,61920
3,38,61920
3,39,61920
4,1,45648
4,2,45648
4,3,45648
4,4,45648
4,5,45648
4,6,45648
4,7,45648
4,8,45648
4,9,45648
4,10,45648
4,11,45648
4,12,45648
4,13,45648
4,14,45648
4,15,45648
4,16,45648
4,17,45648
4,18,45648
4,19,45648
4,20,45648
4,21,45648
4,22,45648
4,23,45648
4,24,45648
4,25,45648
4,26,45648
4,27,45648
4,28,45648
4,29,45648
4,30,45648
4,31,45648
4,32,45648
4,33,45648
4,34,45648
4,35,45648
4,36,45648
4,37,45648
4,38,45648
4,39,45648
5,1,45648
5,2,45648
5,3,45648
5,4,45648
5,5,45648
5,6,45648
5,7,45648
5,8,45648
5,9,45648
5,10,45648
5,11,45648
5,12,45648
5,13,45648
5,14,45648
5,15,45648
5,16,45648
5,17,45648
5,18,30960
5,19,30960
5,20,30960
5,21,30960
5,22,30960
5,23,30960
5,24,30960
5,25,30960
5,26,30960
5,27,30960
5,28,30960
5,29,30960
5,30,30960
5,31,30960
5,32,309600
5,33,309600
5,34,309600
5,35,309600
5,36,309600
5,37,309600
5,38,309600
5,39,309600
6,1,30960
6,2,30960
6,3,30960
6,4,30960
6,5,30960
6,6,30960
6,7,30960
6,8,30960
6,9,30960
6,10,30960
6,11,30960
6,12,30960
6,13,30960
6,14,30960
6,15,30960
6,16,30960
6,17,30960
6,18,30960
6,19,30960
6,20,30960
6,21,30960
6,22,30960
6,23,30960
6,24,30960
6,25,30960
6,26,30960
6,27,30960
6,28,30960
6,29,30960
6,30,30960
6,31,30960
6,32,30960
6,33,30960
6,34,30960
6,35,30960
6,36,309600
6,37,309600
6,38,309600
6,39,309600
