linhas,periodos,C
1,1,30960
1,2,30960
1,3,30960
1,4,30960
1,5,30960
1,6,30960
1,7,30960
1,8,30960
1,9,30960
1,10,30960
1,11,30960
1,12,30960
1,13,30960
1,14,30960
1,15,30960
1,16,30960
1,17,30960
1,18,30960
1,19,30960
1,20,30960
1,21,30960
1,22,30960
1,23,30960
1,24,30960
1,25,30960
1,26,30960
1,27,30960
1,28,30960
1,29,30960
1,30,30960
1,31,30960
1,32,30960
1,33,30960
1,34,30960
1,35,30960
1,36,30960
1,37,30960
1,38,30960
1,39,30960
1,40,30960
1,41,30960
1,42,30960
1,43,30960
1,44,30960
1,45,30960
1,46,30960
1,47,30960
1,48,30960
1,49,30960
1,50,30960
1,51,30960
1,52,30960
1,53,30960
1,54,30960
1,55,30960
1,56,30960
1,57,30960
1,58,30960
1,59,30960
1,60,23040
1,61,30240
1,62,30240
1,63,30240
1,64,30240
1,65,30240
1,66,30240
1,67,30240
1,68,30240
1,69,30240
1,70,30240
1,71,30240
1,72,30240
1,73,30240
1,74,30240
1,75,30240
1,76,30240
1,77,30240
1,78,30960
1,79,30960
1,80,30960
1,81,30960
1,82,30960
1,83,30960
1,84,30960
1,85,27360
1,86,30960
1,87,30960
1,88,30960
1,89,30960
1,90,30960
1,91,30960
1,92,30960
1,93,30960
1,94,30960
1,95,30960
1,96,27360
1,97,30960
1,98,30960
1,99,30960
1,100,30960
1,101,30960
1,102,30960
1,103,30960
1,104,30960
1,105,30960
1,106,30960
1,107,30960
1,108,30960
1,109,30960
1,110,30960
1,111,30960
1,112,30960
1,113,30960
1,114,30960
1,115,30960
1,116,30960
1,117,30960
1,118,30960
1,119,30960
1,120,30960
1,121,30960
1,122,24192
1,123,30960
1,124,27360
1,125,30960
1,126,30960
1,127,30960
1,128,24192
1,129,30960
1,130,30960
1,131,30960
1,132,20160
1,133,30960
1,134,30960
1,135,30960
1,136,30960
1,137,30960
1,138,30960
1,139,30960
1,140,30960
1,141,30960
1,142,30960
1,143,30960
1,144,30960
1,145,30960
1,146,30960
1,147,30960
1,148,30960
1,149,30960
1,150,30960
1,151,30960
1,152,30960
1,153,30960
1,154,30960
1,155,30960
1,156,30960
1,157,30960
1,158,30960
1,159,30960
1,160,12240
1,161,15840
1,162,30960
1,163,30960
1,164,30960
1,165,26640
1,166,26640
1,167,23760
1,168,30960
1,169,27360
1,170,30960
1,171,30960
1,172,30960
1,173,30960
1,174,30960
1,175,25200
1,176,30960
1,177,30960
1,178,30960
1,179,30960
1,180,30960
1,181,30960
1,182,30960
1,183,30960
1,184,30960
1,185,30960
1,186,30960
1,187,30960
1,188,30960
1,189,30960
1,190,30960
1,191,30032
1,192,30032
1,193,30960
1,194,30960
1,195,23760
1,196,30960
1,197,30960
1,198,30960
1,199,30960
1,200,30960
1,201,30960
1,202,30960
1,203,30960
1,204,30960
1,205,30960
1,206,30960
1,207,30960
1,208,30960
1,209,30960
1,210,27360
1,211,36
1,212,30960
1,213,27360
1,214,30960
1,215,30960
1,216,30960
1,217,30960
1,218,30960
1,219,30960
1,220,36
1,221,30960
1,222,30960
1,223,30960
1,224,30960
1,225,30960
1,226,36
1,227,27360
1,228,27360
1,229,27360
1,230,27360
1,231,27360
1,232,30960
1,233,30960
1,234,30960
1,235,30960
1,236,30960
1,237,30960
1,238,30960
1,239,24768
1,240,24768
1,241,24768
2,1,61920
2,2,61920
2,3,61920
2,4,61920
2,5,61920
2,6,61920
2,7,61920
2,8,61920
2,9,61920
2,10,61920
2,11,61920
2,12,61920
2,13,61920
2,14,61920
2,15,61920
2,16,61920
2,17,61920
2,18,47232
2,19,47232
2,20,47232
2,21,47232
2,22,47232
2,23,47232
2,24,47232
2,25,47232
2,26,47232
2,27,47232
2,28,47232
2,29,47232
2,30,47232
2,31,47232
2,32,47232
2,33,47232
2,34,47232
2,35,47232
2,36,47232
2,37,47232
2,38,47232
2,39,47232
2,40,12672
2,41,61920
2,42,47232
2,43,61920
2,44,47232
2,45,61920
2,46,47232
2,47,61920
2,48,47232
2,49,47232
2,50,30960
2,51,61920
2,52,47232
2,53,47232
2,54,47232
2,55,30960
2,56,61920
2,57,47232
2,58,47232
2,59,47232
2,60,50256
2,61,57456
2,62,57456
2,63,57456
2,64,57456
