linhas,periodos,C
1,1,30960
1,2,30960
1,3,30960
1,4,30960
1,5,30960
1,6,30960
1,7,30960
1,8,30960
1,9,30960
1,10,30960
1,11,30960
1,12,30960
1,13,30960
1,14,30960
1,15,30960
1,16,30960
1,17,30960
2,1,61920
2,2,61920
2,3,61920
2,4,61920
2,5,61920
2,6,61920
2,7,61920
2,8,61920
2,9,61920
2,10,61920
2,11,61920
2,12,61920
2,13,61920
2,14,61920
2,15,61920
2,16,61920
2,17,61920
3,1,61920
3,2,61920
3,3,61920
3,4,61920
3,5,61920
3,6,61920
3,7,61920
3,8,61920
3,9,61920
3,10,61920
3,11,61920
3,12,61920
3,13,61920
3,14,61920
3,15,61920
3,16,61920
3,17,61920
4,1,45648
4,2,30960
4,3,30960
4,4,30960
4,5,45648
4,6,24768
4,7,45648
4,8,38448
4,9,61920
4,10,45648
4,11,45648
4,12,45648
4,13,45648
4,14,45648
4,15,45648
4,16,61920
4,17,24768
5,1,30960
5,2,30960
5,3,30960
5,4,30960
5,5,30960
5,6,24768
5,7,30960
5,8,30960
5,9,20160
5,10,30960
5,11,47232
5,12,30960
5,13,30960
5,14,47232
5,15,30960
5,16,30960
5,17,24768
6,1,30960
6,2,30960
6,3,30960
6,4,30960
6,5,30960
6,6,24768
6,7,23760
6,8,30960
6,9,30960
6,10,30960
6,11,30960
6,12,30960
6,13,30960
6,14,30960
6,15,30960
6,16,30960
6,17,24768
