modelos,demanda
L001,10080
L002,0
L003,1580
L004,7782
L005,0
L006,0
L007,0
L008,0
L009,0
L010,100
L011,14321
L012,253
L013,328
L014,30
L015,0
L016,8160
L017,0
L018,240
L019,118
L020,2285
L021,0
L022,8640
L023,93
L024,160
L025,540
L026,1289
L027,0
L028,1177
L029,0
L030,960
L031,1080
L032,502
L033,296
L034,0
L035,0
L036,290
L037,0
L038,0
L039,0
L040,0
L041,799
L042,1530
L043,0
L044,0
L045,0
L046,0
L047,0
L048,0
L049,0
L050,0
L051,0
L052,0
L053,0
L054,0
L055,240
L056,0
L057,0
L058,0
L059,98
L060,37383
L061,455
L062,21663
L063,0
L064,6720
L065,0
L066,0
L067,15057
L068,0
L069,0
L070,12480
L071,0
F001,0
F002,0
F003,0
F004,0
F005,0
F006,0
F007,0
F008,0
F009,0
F010,0
F011,0
F012,0
F013,0
F014,0
F015,0
F016,2160
F017,3167
F018,0
F019,0
F020,4320
F021,1440
F022,0
F023,4389
F024,1200
F025,680
F026,0
F027,480
F028,480
F029,0
F030,0
F031,0
F032,141
F033,240
F034,480
F035,240
F036,960
F037,0
F038,1132
F039,0
F040,450
F041,208
F042,1110
F043,240
F044,960
F045,0
F046,0
F047,240
F048,0
F049,0
F050,0
F051,0
F052,0
F053,720
F054,240
F055,480
F056,1070
F057,0
F058,0
F059,0
F060,0
F061,0
F062,0
F063,0
F064,0
F065,0
F066,0
F067,0
F068,0
F069,0
F070,0
F071,0
F072,0
F073,194
F074,0
F075,0
F076,0
F077,10
F078,310
F079,160
F080,0
F081,0
F082,0
F083,0
F084,0
F085,0
F086,6720
F087,0
F088,0
F089,0
F090,108
F091,0
F092,0
F093,480
F094,240
F095,0
F096,1200
F097,0
F098,1680
F099,240
F100,0
F101,5149
F102,2880
F103,0
F104,0
F105,0
F106,3120
F107,0
F108,0
F109,0
F110,0
F111,0
F112,0
F113,2640
F114,1680
F115,0
F116,5280
F117,0
F118,0
F119,2640
F120,0
F121,0
C001,1835
C002,1440
C003,3502
C004,240
C005,2523
C006,360
C007,291
C008,0
C009,531
