linhas,periodos,C
1,1,30960
1,2,30960
1,3,30960
1,4,30960
1,5,30960
1,6,30960
1,7,30960
1,8,30960
1,9,30960
1,10,30960
1,11,30960
1,12,30960
1,13,30960
1,14,30960
1,15,30960
1,16,30960
1,17,30960
1,18,30960
1,19,30960
1,20,30960
1,21,30960
1,22,30960
2,1,47232
2,2,47232
2,3,47232
2,4,47232
2,5,47232
2,6,47232
2,7,47232
2,8,47232
2,9,47232
2,10,47232
2,11,47232
2,12,47232
2,13,47232
2,14,47232
2,15,47232
2,16,47232
2,17,47232
2,18,47232
2,19,47232
2,20,47232
2,21,47232
2,22,47232
3,1,61920
3,2,61920
3,3,61920
3,4,61920
3,5,61920
3,6,61920
3,7,61920
3,8,61920
3,9,61920
3,10,61920
3,11,61920
3,12,61920
3,13,61920
3,14,61920
3,15,61920
3,16,61920
3,17,61920
3,18,61920
3,19,61920
3,20,61920
3,21,61920
3,22,61920
4,1,45648
4,2,45648
4,3,45648
4,4,45648
4,5,45648
4,6,45648
4,7,45648
4,8,45648
4,9,45648
4,10,45648
4,11,45648
4,12,45648
4,13,45648
4,14,45648
4,15,45648
4,16,45648
4,17,45648
4,18,45648
4,19,45648
4,20,45648
4,21,45648
4,22,45648
5,1,30960
5,2,30960
5,3,30960
5,4,30960
5,5,30960
5,6,30960
5,7,30960
5,8,30960
5,9,30960
5,10,30960
5,11,30960
5,12,30960
5,13,30960
5,14,30960
5,15,309600
5,16,309600
5,17,309600
5,18,309600
6,1,30960
6,2,30960
6,3,30960
6,4,30960
6,5,30960
6,6,30960
6,7,30960
6,8,30960
6,9,30960
6,10,30960
6,11,30960
6,12,30960
6,13,30960
6,14,30960
6,15,30960
6,16,30960
6,17,30960
6,18,30960
6,19,309600
6,20,309600
6,21,309600
6,22,309600
