modelos,demanda
L001,38577
L002,0
L003,1580
L004,19875
L005,0
L006,83
L007,960
L008,0
L009,431
L010,360
L011,46361
L012,760
L013,465
L014,30
L015,0
L016,23680
L017,0
L018,360
L019,527
L020,3606
L021,0
L022,31704
L023,93
L024,368
L025,2033
L026,2394
L027,0
L028,1842
L029,0
L030,1677
L031,2239
L032,1047
L033,604
L034,0
L035,9
L036,1219
L037,67
L038,210
L039,2
L040,0
L041,1649
L042,2735
L043,0
L044,0
L045,0
L046,0
L047,0
L048,0
L049,0
L050,0
L051,0
L052,0
L053,9
L054,0
L055,240
L056,0
L057,0
L058,0
L059,599
L060,107939
L061,1344
L062,30087
L063,0
L064,22080
L065,2040
L066,0
L067,55137
L068,0
L069,0
L070,32040
L071,0
F001,0
F002,0
F003,500
F004,0
F005,0
F006,0
F007,0
F008,0
F009,515
F010,0
F011,0
F012,0
F013,0
F014,0
F015,240
F016,5176
F017,5820
F018,0
F019,0
F020,12008
F021,5010
F022,0
F023,11806
F024,5314
F025,2459
F026,4
F027,1088
F028,2370
F029,0
F030,0
F031,0
F032,356
F033,720
F034,2165
F035,762
F036,2878
F037,280
F038,4394
F039,1400
F040,1363
F041,1015
F042,2523
F043,757
F044,3642
F045,300
F046,80
F047,1399
F048,0
F049,0
F050,3
F051,0
F052,0
F053,1200
F054,1723
F055,2300
F056,5620
F057,0
F058,0
F059,0
F060,0
F061,0
F062,0
F063,0
F064,0
F065,0
F066,0
F067,0
F068,0
F069,0
F070,0
F071,0
F072,0
F073,559
F074,0
F075,0
F076,0
F077,34
F078,978
F079,373
F080,0
F081,0
F082,0
F083,0
F084,0
F085,0
F086,21243
F087,0
F088,0
F089,0
F090,201
F091,0
F092,0
F093,480
F094,240
F095,0
F096,2400
F097,0
F098,2400
F099,613
F100,0
F101,17315
F102,9480
F103,0
F104,0
F105,180
F106,6840
F107,0
F108,0
F109,0
F110,0
F111,0
F112,0
F113,8514
F114,4080
F115,0
F116,16655
F117,0
F118,0
F119,7200
F120,0
F121,0
C001,2495
C002,2593
C003,9118
C004,842
C005,9632
C006,720
C007,826
C008,0
C009,1371
