modelos,demanda
L001,28497
L002,0
L003,0
L004,12093
L005,0
L006,83
L007,960
L008,0
L009,431
L010,260
L011,32040
L012,507
L013,137
L014,0
L015,0
L016,15520
L017,0
L018,120
L019,409
L020,1321
L021,0
L022,23064
L023,0
L024,208
L025,1493
L026,1105
L027,0
L028,665
L029,0
L030,717
L031,1159
L032,545
L033,308
L034,0
L035,9
L036,929
L037,67
L038,210
L039,2
L040,0
L041,850
L042,1205
L043,0
L044,0
L045,0
L046,0
L047,0
L048,0
L049,0
L050,0
L051,0
L052,0
L053,9
L054,0
L055,0
L056,0
L057,0
L058,0
L059,501
L060,70556
L061,889
L062,8424
L063,0
L064,15360
L065,2040
L066,0
L067,40080
L068,0
L069,0
L070,19560
L071,0
F001,0
F002,0
F003,500
F004,0
F005,0
F006,0
F007,0
F008,0
F009,515
F010,0
F011,0
F012,0
F013,0
F014,0
F015,240
F016,3016
F017,2653
F018,0
F019,0
F020,7688
F021,3570
F022,0
F023,7417
F024,4114
F025,1779
F026,4
F027,608
F028,1890
F029,0
F030,0
F031,0
F032,215
F033,480
F034,1685
F035,522
F036,1918
F037,280
F038,3262
F039,1400
F040,913
F041,807
F042,1413
F043,517
F044,2682
F045,300
F046,80
F047,1159
F048,0
F049,0
F050,3
F051,0
F052,0
F053,480
F054,1483
F055,1820
F056,4550
F057,0
F058,0
F059,0
F060,0
F061,0
F062,0
F063,0
F064,0
F065,0
F066,0
F067,0
F068,0
F069,0
F070,0
F071,0
F072,0
F073,365
F074,0
F075,0
F076,0
F077,24
F078,668
F079,213
F080,0
F081,0
F082,0
F083,0
F084,0
F085,0
F086,14523
F087,0
F088,0
F089,0
F090,93
F091,0
F092,0
F093,0
F094,0
F095,0
F096,1200
F097,0
F098,720
F099,373
F100,0
F101,12166
F102,6600
F103,0
F104,0
F105,180
F106,3720
F107,0
F108,0
F109,0
F110,0
F111,0
F112,0
F113,5874
F114,2400
F115,0
F116,11375
F117,0
F118,0
F119,4560
F120,0
F121,0
C001,660
C002,1153
C003,5616
C004,602
C005,7109
C006,360
C007,535
C008,0
C009,840
