modelos,demanda
L001,47149
L002,38
L003,1580
L004,26499
L005,0
L006,83
L007,960
L008,0
L009,431
L010,560
L011,58481
L012,1202
L013,805
L014,30
L015,0
L016,31341
L017,0
L018,600
L019,573
L020,5089
L021,0
L022,38184
L023,867
L024,545
L025,2901
L026,2947
L027,0
L028,2942
L029,0
L030,1797
L031,2719
L032,1384
L033,604
L034,0
L035,356
L036,1317
L037,67
L038,210
L039,2
L040,0
L041,1999
L042,3981
L043,0
L044,0
L045,0
L046,0
L047,0
L048,0
L049,0
L050,0
L051,0
L052,649
L053,9
L054,0
L055,240
L056,0
L057,0
L058,0
L059,599
L060,133679
L061,1384
L062,71568
L063,0
L064,29760
L065,4722
L066,0
L067,66029
L068,0
L069,0
L070,40440
L071,0
F001,1013
F002,720
F003,630
F004,0
F005,240
F006,240
F007,0
F008,1236
F009,2195
F010,648
F011,240
F012,0
F013,0
F014,0
F015,960
F016,5656
F017,6320
F018,0
F019,0
F020,12488
F021,5495
F022,0
F023,12286
F024,5794
F025,2713
F026,9
F027,1333
F028,2622
F029,60
F030,0
F031,0
F032,650
F033,960
F034,2405
F035,887
F036,3132
F037,1074
F038,4566
F039,1584
F040,2083
F041,1357
F042,3938
F043,997
F044,3882
F045,510
F046,560
F047,1459
F048,480
F049,240
F050,8
F051,240
F052,120
F053,1680
F054,1977
F055,2780
F056,5620
F057,0
F058,0
F059,0
F060,0
F061,0
F062,0
F063,0
F064,0
F065,10
F066,0
F067,0
F068,10
F069,0
F070,0
F071,0
F072,0
F073,1070
F074,0
F075,210
F076,0
F077,34
F078,998
F079,373
F080,0
F081,0
F082,0
F083,17
F084,23
F085,0
F086,28228
F087,0
F088,0
F089,0
F090,201
F091,0
F092,0
F093,480
F094,240
F095,0
F096,2880
F097,0
F098,3600
F099,623
F100,0
F101,21753
F102,11880
F103,0
F104,0
F105,180
F106,9960
F107,0
F108,0
F109,0
F110,0
F111,0
F112,0
F113,11159
F114,5040
F115,0
F116,22415
F117,0
F118,0
F119,10462
F120,0
F121,0
C001,2495
C002,2593
C003,9118
C004,842
C005,10555
C006,720
C007,886
C008,0
C009,1971
