i,j,setup
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0.021052632
1,5,0.021052632
1,6,0.021052632
1,7,0.021052632
1,8,210.5052632
1,9,210.5052632
1,10,0.021052632
1,11,54.11428571
1,12,54.11428571
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0.021052632
2,5,0.021052632
2,6,0.021052632
2,7,0.021052632
2,8,210.5052632
2,9,210.5052632
2,10,0.021052632
2,11,54.11428571
2,12,54.11428571
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0.021052632
3,5,0.021052632
3,6,0.021052632
3,7,0.021052632
3,8,210.5052632
3,9,210.5052632
3,10,0.021052632
3,11,54.11428571
3,12,54.11428571
4,0,0
4,1,0.021052632
4,2,0.021052632
4,3,0.021052632
4,4,0
4,5,0
4,6,0
4,7,0
4,8,210.5263158
4,9,210.5263158
4,10,0
4,11,54.13533835
4,12,54.13533835
5,0,0
5,1,0.021052632
5,2,0.021052632
5,3,0.021052632
5,4,0
5,5,0
5,6,0
5,7,0
5,8,210.5263158
5,9,210.5263158
5,10,0
5,11,54.13533835
5,12,54.13533835
6,0,0
6,1,0.021052632
6,2,0.021052632
6,3,0.021052632
6,4,0
6,5,0
6,6,0
6,7,0
6,8,210.5263158
6,9,210.5263158
6,10,0
6,11,54.13533835
6,12,54.13533835
7,0,0
7,1,0.021052632
7,2,0.021052632
7,3,0.021052632
7,4,0
7,5,0
7,6,0
7,7,0
7,8,210.5263158
7,9,210.5263158
7,10,0
7,11,54.13533835
7,12,54.13533835
8,0,0
8,1,210.5052632
8,2,210.5052632
8,3,210.5052632
8,4,210.5263158
8,5,210.5263158
8,6,210.5263158
8,7,210.5263158
8,8,0
8,9,0
8,10,210.5263158
8,11,156.3909774
8,12,156.3909774
9,0,0
9,1,210.5052632
9,2,210.5052632
9,3,210.5052632
9,4,210.5263158
9,5,210.5263158
9,6,210.5263158
9,7,210.5263158
9,8,0
9,9,0
9,10,210.5263158
9,11,156.3909774
9,12,156.3909774
10,0,0
10,1,0.021052632
10,2,0.021052632
10,3,0.021052632
10,4,0
10,5,0
10,6,0
10,7,0
10,8,210.5263158
10,9,210.5263158
10,10,0
10,11,54.13533835
10,12,54.13533835
11,0,0
11,1,54.11428571
11,2,54.11428571
11,3,54.11428571
11,4,54.13533835
11,5,54.13533835
11,6,54.13533835
11,7,54.13533835
11,8,156.3909774
11,9,156.3909774
11,10,54.13533835
11,11,0
11,12,0
12,0,0
12,1,54.11428571
12,2,54.11428571
12,3,54.11428571
12,4,54.13533835
12,5,54.13533835
12,6,54.13533835
12,7,54.13533835
12,8,156.3909774
12,9,156.3909774
12,10,54.13533835
12,11,0
12,12,0

